152.67.209.237:22053#KR 优选反代[86ms 26.23Mbps]
[2a06:98c1:310d::d3a3:4b08]:2083#SG 电信优选[91ms 111.27Mbps]
104.18.39.150:443#SG 官方优选[93ms 106.63Mbps]
162.159.36.108:2096#SG 官方优选[93ms 95.85Mbps]
108.162.192.7:443#SG 官方优选[94ms 86.98Mbps]
173.245.58.79:2087#SG 官方优选[94ms 40.85Mbps]
188.164.248.14:2083#SG 官方优选[95ms 80.16Mbps]
[2a06:98c1:3107::4352:9aaf]:443#SG 电信优选[96ms 103.90Mbps]
[2606:4700:51::9d1d:4138]:443#SG 电信优选[96ms 106.24Mbps]
162.159.62.247:2087#SG 官方优选[96ms 89.61Mbps]
172.64.32.5:443#SG 官方优选[96ms 114.89Mbps]
162.159.43.143:2087#SG 官方优选[96ms 92.80Mbps]
162.159.25.114:2087#SG 官方优选[97ms 115.84Mbps]
125.135.22.76:16020#KR 优选反代[97ms 53.85Mbps]
54.151.150.190:30348#SG 优选反代[97ms 97.28Mbps]
[2606:4700:4402::b05:c08]:443#SG 电信优选[98ms 126.87Mbps]
172.64.53.188:443#JP 官方优选[98ms 127.61Mbps]
108.162.198.18:443#JP 官方优选[98ms 127.22Mbps]
[2a06:98c1:310b::799b:34bc]:443#SG 电信优选[99ms 111.30Mbps]
162.159.36.49:2053#SG 官方优选[99ms 105.18Mbps]
162.159.44.233:2083#JP 官方优选[99ms 124.08Mbps]
108.162.198.2:2053#JP 官方优选[99ms 127.32Mbps]
162.159.49.229:2087#SG 官方优选[99ms 92.33Mbps]
108.162.192.6:443#SG 官方优选[100ms 116.44Mbps]
172.64.53.243:443#JP 官方优选[100ms 108.39Mbps]
108.162.198.7:2087#JP 官方优选[100ms 112.00Mbps]
108.162.198.17:2096#JP 官方优选[101ms 124.09Mbps]
108.162.198.15:2083#JP 官方优选[101ms 102.00Mbps]
108.162.198.3:2096#JP 官方优选[101ms 94.10Mbps]
172.64.32.7:443#SG 官方优选[101ms 167.10Mbps]
[2606:4700:440b::8a29:e563]:443#SG 电信优选[101ms 110.34Mbps]
172.64.53.80:8443#JP 官方优选[101ms 128.58Mbps]
162.159.51.199:2087#SG 官方优选[102ms 89.84Mbps]
172.64.53.78:443#JP 官方优选[103ms 122.16Mbps]
[2a06:98c1:3101::f999:9d1a]:443#SG 电信优选[103ms 113.43Mbps]
210.100.215.99:21272#KR 优选反代[104ms 47.44Mbps]
162.159.0.9:443#SG 官方优选[104ms 110.44Mbps]
108.162.198.19:2087#JP 官方优选[104ms 96.59Mbps]
162.159.51.103:2087#SG 官方优选[104ms 96.66Mbps]
162.159.44.8:8443#JP 官方优选[105ms 102.60Mbps]
[2803:f800:53::f34c:cf7c]:443#SG 电信优选[105ms 112.68Mbps]
[2a06:98c1:3106::518b:88b8]:443#SG 电信优选[105ms 112.00Mbps]
162.159.36.169:2087#SG 官方优选[105ms 106.74Mbps]
172.64.53.41:8443#JP 官方优选[106ms 96.54Mbps]
220.118.195.132:10757#KR 优选反代[106ms 46.12Mbps]
162.159.27.22:8443#SG 官方优选[107ms 100.49Mbps]
121.175.192.245:26257#KR 优选反代[107ms 43.12Mbps]
162.159.50.205:2087#SG 官方优选[107ms 87.40Mbps]
104.18.37.7:443#SG 官方优选[108ms 95.57Mbps]
162.159.0.2:2087#SG 官方优选[108ms 104.30Mbps]
[2606:4700:57::8069:fb46]:443#JP 电信优选[108ms 101.80Mbps]
172.64.229.3:443#JP 官方优选[109ms 108.94Mbps]
[2a06:98c1:310e::382d:72e]:443#SG 电信优选[109ms 106.65Mbps]
172.64.53.210:2087#JP 官方优选[109ms 101.79Mbps]
172.64.53.232:443#JP 官方优选[109ms 97.11Mbps]
172.64.229.8:8443#JP 官方优选[109ms 123.87Mbps]
162.159.38.180:443#JP 官方优选[109ms 92.44Mbps]
173.245.59.180:2053#SG 官方优选[110ms 126.41Mbps]
108.162.192.9:2053#SG 官方优选[111ms 115.35Mbps]
